time,high,low,open,close,volumefrom,volumeto
1483142400,965.47,942.4,959.04,963.38,27559.31,26379401.89
1483228800,1001.61,956.1,963.38,995.44,41148.52,40570922.99
1483315200,1031.68,990.2,995.44,1017.05,64951.63,66038073.34
1483401600,1035.47,1006.53,1017.05,1033.3,54788.01,56085870.7
1483488000,1148.54,1022.32,1033.3,1135.41,156272.17,170584623
1483574400,1150.63,874.53,1135.41,989.35,240007.84,244839289.8
1483660800,1027.42,852.55,989.35,886.16,194290.96,179160668.8
1483747200,900.86,806.66,886.16,888.87,130663.09,113037531.7
1483833600,936.13,875.85,888.87,900.86,76905.99,70298340.37
1483920000,910.47,870.91,900.86,899.78,62579.5,55963281.18
1484006400,911.32,890.12,899.78,904.37,53709.46,48644106.82
1484092800,917.65,751.63,904.37,785.43,194436.54,160194109.8
1484179200,828.21,739.55,785.43,810.11,120241.76,93986701.88
1484265600,835.05,771,810.11,824.83,89861.97,72555875.62
1484352000,838.9,808.27,824.83,819.63,44207.74,36594482
1484438400,826.43,808.63,819.63,821.17,24401.41,20004735.1
1484524800,836.66,817.7,821.17,827.34,33222.93,27592899.17
1484611200,906.38,825.04,827.34,899.66,82207.99,72272727.15
1484697600,913.67,845.87,899.66,872.03,69258.17,61042392.11
1484784000,905.28,870.71,872.03,895.21,58440.87,52300814.98
1484870400,901.49,878.9,895.21,892.91,38865.48,34847130.33
1484956800,928.93,889.46,892.91,919.84,40378.21,37129176.59
1485043200,938.38,888.62,919.84,918.84,47927.32,44074299.79
1485129600,927.98,910.85,918.84,921.46,32744.43,30261054.5
1485216000,925.61,889.15,921.46,893.75,58874.32,53468911.31
1485302400,905.7,883.63,893.75,894.41,37902.18,34014866.15
1485388800,919.32,893.49,894.41,915.56,33800.2,30795685.98
1485475200,922.56,907.92,915.56,918.01,30968.49,28503144.41
1485561600,921.89,912.84,918.01,918.51,14307.36,13251844.02
1485648000,922.4,912.68,918.51,914.55,11052.31,10214368.33
1485734400,922.35,911.51,914.55,920.73,19062.15,17604172.47
1485820800,967.45,917.38,920.73,965.49,54670.21,51869216.53
1485907200,986.57,959.82,965.49,982.43,45223.3,44035816.37
1485993600,1009.13,973.5,982.43,1003.97,50863.87,50633910.56
1486080000,1023.72,989.21,1003.97,1013.02,61671.88,62431017.97
1486166400,1041.04,1000.41,1013.02,1031.85,39461.62,40406542.54
1486252800,1033.66,1004.05,1031.85,1016.11,31058.49,31669956.98
1486339200,1030.6,1010.83,1016.11,1024.67,32019.82,32828350.27
1486425600,1054.1,1019.87,1024.67,1049.56,39553.25,41318349.43
1486512000,1069.23,1020.33,1049.56,1055.49,65145.12,68336320.22
1486598400,1073.03,924.65,1055.49,978.96,146746.26,145839317.5
1486684800,1005.6,947.02,978.96,997.61,62132.99,60639111.4
1486771200,1014.32,983.93,997.61,1008.32,28319.39,28504495.1
1486857600,1007.82,992.45,1008.32,996.52,14750.39,14825023.07
1486944000,1007.61,975.1,996.52,995.36,32908.63,32785064.4
1487030400,1013.8,986.46,995.36,1008.34,39537.9,39810076.3
1487116800,1010.93,999.73,1008.34,1008.19,23359.15,23569549.45
1487203200,1040.28,1007.39,1008.19,1031.93,38080.21,39114743.32
1487289600,1057.39,1025.87,1031.93,1049.41,45711.79,47815360.54
1487376000,1063.21,1044.68,1049.41,1052.28,25362.02,26856521.18
1487462400,1056.48,1037.67,1052.28,1048.89,17953.15,18876881.86
1487548800,1081.78,1040.99,1048.89,1077.56,31010.85,32959720.15
1487635200,1123.03,1073.54,1077.56,1119.03,57048.87,62908569.43
1487721600,1132.25,1094.83,1119.03,1120.46,47913.31,53647453.34
1487808000,1181.6,1113.54,1120.46,1171.91,65737.1,75663167.44
1487894400,1211.74,1092.41,1171.91,1176.49,108170.88,126978010.8
1487980800,1180.01,1116.21,1176.49,1149.05,45860.52,53003830.46
1488067200,1177.47,1130.61,1149.05,1171.58,30764.77,35750258.05
1488153600,1195.82,1164.27,1171.58,1188.83,35468.84,42035366.64
1488240000,1208.22,1175.75,1188.83,1189.27,50579.83,60371869.57
1488326400,1225.04,1154.55,1189.27,1222.66,51153.83,61964760.57
1488412800,1286.98,1211.96,1222.66,1255.47,78492.01,98040639.32
1488499200,1291.35,1250.8,1255.47,1283.3,67275.49,85876262.86
1488585600,1285.78,1228.73,1283.3,1264.32,38418.2,48597934.9
1488672000,1273.28,1242.1,1264.32,1271.22,25430.23,32104972.38
1488758400,1280.61,1261,1271.22,1277.01,31026.9,39591110.81
1488844800,1280.89,1148.66,1277.01,1232.69,87722.01,108673876.5
1488931200,1242.04,1136.88,1232.69,1146.97,97875.25,116342973.9
1489017600,1206.97,1129.35,1146.97,1191.33,59860.55,70427061.57
1489104000,1330.42,988.69,1191.33,1112.39,190472.52,223836041.8
1489190400,1202.69,1104.78,1112.39,1179.22,70747.22,82387198.06
1489276800,1235.46,1160.9,1179.22,1225.11,44412.09,53441762.07
1489363200,1245.63,1205.61,1225.11,1238.19,60460.94,74376298.14
1489449600,1255.52,1218.38,1238.19,1243.14,45142.05,56058617.23
1489536000,1256.95,1236.43,1243.14,1253.43,43592.4,54486699.63
1489622400,1260.24,1118.96,1253.43,1172.88,132773.3,159409024.5
1489708800,1174.9,1063.48,1172.88,1071.71,163739,183879768.7
1489795200,1103.61,940.18,1071.71,971.38,210424.36,212772055.7
1489881600,1063.67,967.31,971.38,1022.6,106444.72,108128237.8
1489968000,1057.5,1005.05,1022.6,1047.51,61431.4,63833143.48
1490054400,1125.53,1043.87,1047.51,1121.29,92591.27,101051998.7
1490140800,1121.88,997.78,1121.29,1044.72,115286.08,120730492.1
1490227200,1062.79,1022.02,1044.72,1035.03,56517.89,58898141.13
1490313600,1038.38,927.35,1035.03,939.7,132599.72,130042865.5
1490400000,995.96,890.43,939.7,966.3,127044.59,118395054.5
1490486400,1004.32,946.65,966.3,969.44,85332.41,83255983.42
1490572800,1048.85,961.8,969.44,1045.14,91256.43,92332221.14
1490659200,1068.41,1015.45,1045.14,1044.42,80000.9,83567551.46
1490745600,1058.66,1008.34,1044.42,1041.9,68852.51,71261535.48
1490832000,1052.66,1020.93,1041.9,1037.91,74984.88,77633883.53
1490918400,1088.2,1035.18,1037.91,1079.11,90987.94,96543920.02
1491004800,1103.74,1067.47,1079.11,1086.12,50658.36,55020078.21
1491091200,1109.48,1074.21,1086.12,1097.4,70980.71,77853933.84
1491177600,1157.87,1095.55,1097.4,1147.56,98499.3,111870807.4
1491264000,1161.19,1122.15,1147.56,1141.77,70998.95,81164094.44
1491350400,1143.84,1110.06,1141.77,1129.87,69469.37,78335573.66
1491436800,1201.55,1130.51,1129.87,1188.7,92357.58,108182158.2
1491523200,1201.23,1173.18,1188.7,1190.49,59746.57,71184485.98
1491609600,1198.22,1166.65,1190.49,1180.78,33180.63,39393003.33
1491696000,1215.1,1173.99,1180.78,1204.34,45351.08,54498333.26
1491782400,1214.87,1194.81,1204.34,1206.71,40013.05,48473680.7
1491868800,1229.57,1195.76,1206.71,1220.74,37394.78,45563707.07
1491955200,1225.46,1207.36,1220.74,1212.53,44783.23,54699396.14
1492041600,1218.66,1150.29,1212.53,1176.2,66051.93,78456422.62
1492128000,1195.4,1162.16,1176.2,1177.33,47217.49,56129576.67
1492214400,1194.85,841.53,1177.33,1176.99,28384.58,33877537.21
1492300800,1187.97,1166.74,1176.99,1176.8,18930.29,22538918.55
1492387200,1202.97,1172.81,1176.8,1194.01,46483.54,56095607.39
1492473600,1213.88,1191.14,1194.01,1206.09,52747.52,64900219.25
1492560000,1218.21,1194.08,1206.09,1215.2,43347.15,53034357.1
1492646400,1246.64,1210.67,1215.2,1238.09,55194.86,69223360.98
1492732800,1256.97,1235.56,1238.09,1249.64,41344.02,52498296.85
1492819200,1256.97,1215.78,1249.64,1240.89,43814.59,55776932.72
1492905600,1256.23,1223.06,1240.89,1249.14,42608.01,54224355.75
1492992000,1256.36,1234.86,1249.14,1248.18,38542.24,49281629.32
1493078400,1272.62,1244.21,1248.18,1264.31,43885.78,56659016.28
1493164800,1309.2,1263,1264.31,1286.63,58908.66,77649710.39
1493251200,1346.79,1285.3,1286.63,1332.91,61771.48,83319636.4
1493337600,1356.15,1287.62,1332.91,1329.62,77569.41,104536476.7
1493424000,1343.69,1314.15,1329.62,1336.28,40969.34,55982468.15
1493510400,1358.94,1309.66,1336.28,1351.91,40643.04,55470285.83
1493596800,1448.68,1342.78,1351.91,1415.81,100438.27,144414038.5
1493683200,1471.14,1394.83,1415.81,1445.93,70004.82,103342245
1493769600,1496.39,1424.05,1445.93,1485.55,81717.36,122551707.4
1493856000,1609.84,1437.11,1485.55,1516.76,136711.3,213084949.6
1493942400,1588.11,1485.01,1516.76,1507.77,120379.24,188015772
1494028800,1560.42,1503.93,1507.77,1545.29,59602.01,92747185.54
1494115200,1572.89,1495.18,1545.29,1554.45,71355.58,111708072.4
1494201600,1667.67,1552.86,1554.45,1664.47,107226.89,174687869.2
1494288000,1757.39,1619.97,1664.47,1697.5,127228.68,219169486.2
1494374400,1766.18,1664.99,1697.5,1752.31,89679.81,156203600.1
1494460800,1864.76,1741.54,1752.31,1819.29,109009,198829123.4
1494547200,1822.51,1641.18,1819.29,1686.39,109341.25,192159874
1494633600,1770.5,1594.59,1686.39,1763.74,75467.87,128390095.8
1494720000,1802.75,1736.13,1763.74,1772.55,40635.4,72874378.57
1494806400,1776.65,1656.81,1772.55,1708.92,80241.72,138499150.9
1494892800,1752.55,1653.72,1708.92,1729.34,75541.37,130379207.2
1494979200,1842.83,1703.97,1729.34,1801.3,94618.69,170954154.7
1495065600,1980.49,1791.12,1801.3,1880.99,73095.54,135901905.4
1495152000,1969.7,1875.28,1880.99,1962,98759.13,191523926.2
1495238400,2048.45,1944.4,1962,2040.18,89862.03,179346919.1
1495324800,2094.94,1980.07,2040.18,2044.19,78775.32,161036810.1
1495411200,2264.76,1998.61,2044.19,2124.41,174376.65,373482496
1495497600,2286.3,2110.78,2124.41,2272.58,114179.23,251969081.9
1495584000,2496.98,2263.29,2272.58,2445.28,149254.84,353734030.9
1495670400,2781.76,2210.48,2445.28,2307.22,248438.97,622139031
1495756800,2616.52,2051.45,2306.96,2244.89,191494.03,441342711.5
1495843200,2322.37,1868.56,2244.89,2052.43,222952.91,446034004
1495929600,2300.52,2051.07,2052.43,2189.02,125004.39,266766116.9
1496016000,2337.35,2117.34,2189.02,2278.21,92235.69,204101576.1
1496102400,2329.26,2147.1,2278.21,2192.55,120964.11,270069146.9
1496188800,2330.62,2168.37,2192.55,2303.34,117749.1,261223036
1496275200,2460.84,2303.34,2303.34,2412.65,122696.44,290070431.9
1496361600,2493.97,2385.59,2412.65,2492.6,83028.45,199765372.8
1496448000,2582.77,2449.95,2492.6,2545.43,70956.49,177168595.5
1496534400,2559.79,2478.18,2545.43,2524.06,59478.96,149060810.4
1496620800,2705.38,2523.92,2524.06,2704.96,86686.38,225611887.5
1496707200,2931.24,2699.68,2704.96,2870.5,192228.25,538772473.8
1496793600,2880.95,2626.56,2870.5,2691.51,122676.04,340329903.7
1496880000,2808.41,2623.61,2691.51,2798.78,95420.44,260898606.1
1496966400,2852.07,2786.07,2798.78,2811.43,67044.96,189237110.9
1497052800,2914.19,2807.36,2811.43,2900.25,86516.58,246869682.1
1497139200,2977.86,2867.25,2900.25,2973.45,83026.07,241516660.8
1497225600,2985.06,2483.63,2973.45,2656.77,217963.32,585158909.9
1497312000,2784.77,2647.44,2656.77,2712.99,116738.08,314476276.7
1497398400,2803.72,2348.99,2712.99,2467.27,174189.24,448294279.4
1497484800,2521.6,2125.56,2467.27,2442.46,262787.33,606264366
1497571200,2536.42,2335.28,2442.46,2508.58,117206.43,286630757.6
1497657600,2690.71,2454.81,2508.58,2655.1,95948.29,246698591.9
1497744000,2676.04,2488.59,2655.1,2539.56,92004.22,235239296.3
1497830400,2617.75,2518.78,2539.56,2616.82,81829.22,210372750.9
1497916800,2800.48,2613.98,2616.82,2754.38,111303.55,300034010.6
1498003200,2804.41,2624.35,2754.38,2677.62,116033.61,313234721.5
1498089600,2757.32,2623.17,2677.62,2722.84,78297.6,210318781
1498176000,2759.66,2699.48,2722.84,2710.37,56938.1,155303414.2
1498262400,2741.56,2540.35,2710.37,2590.05,86964.18,228007287
1498348800,2660.66,2472.37,2590.05,2541.62,86972.43,220679135.8
1498435200,2584.75,2327.26,2541.62,2446.05,165825.86,401912134.9
1498521600,2585.06,2309.63,2446.05,2583.75,159263.78,381517099.9
1498608000,2616.95,2490.11,2583.75,2577.74,110423.89,279792448.2
1498694400,2605.86,2526.51,2577.74,2558.37,75323.92,191733499.8
1498780800,2576.28,2469.54,2558.37,2480.61,73001.6,183878856.3
1498867200,2529.62,2387.47,2480.61,2424.61,66319.98,160661673.8
1498953600,2555.34,2375.86,2424.61,2536.46,67757.31,165839565.2
1499040000,2617.48,2506.3,2536.46,2572.47,83418.16,212244951.2
1499126400,2658.73,2569.99,2572.47,2617.32,80675.07,210433639.1
